nomDuMusee;adr;cp;ville;telephone1;region;departement;coordonneesFinales
Musée de l'Uniforme - Musée de la Légion Etrangère;Domaine "Capitaine-Danjou Chemin Pallière;13114;PUYLOUBIER;0442914501;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;43.5188199408,5.67773327716
Muséum d'Histoire Naturelle Esprit Requien;67, Rue Joseph Vernet;84000;AVIGNON;0490824351;PROVENCE-ALPES-CÔTE D'AZUR;VAUCLUSE;43.946695,4.803397
Musée des Arts et d’Histoire;103, Rue Carnot;83230;BORMES-LES-MIMOSAS;0494715660;PROVENCE-ALPES-CÔTE D'AZUR;VAR;43.150793,6.340584
Musée de la Vie Rurale et Forestière;Site Abbatial Rue du Chamiteau;02830;SAINT-MICHEL-EN-THIERACHE;0323588720;HAUTS-DE-France;AISNE;49.9229668289,4.16909562963
Maison du Sundgau - Musée Paysan;10, rue Principale;68480;OLTINGUE;0389407924;GRAND EST;HAUT-RHIN;47.492827,7.391275
Musée Alsacien;23-25, Quai Saint-Nicolas;67000;STRASBOURG;0388525001;GRAND EST;BAS-RHIN;48.578604,7.748735
Musée d'Art et d'Histoire Roger Rodière;Hôtel Saint-Walloy;62170;MONTREUIL-SUR-MER;0321869083;HAUTS-DE-France;PAS-DE-CALAIS;50.462757,1.76407
Musée-Maison Maurice Ravel;5, Rue Maurice Ravel;78490;MONTFORT-L'AMAURY;0134860089;ÎLE-DE-France;YVELINES;48.776114,1.805347
Musée des Pêcheries, Cité des Terre-Neuvas;3, Quai Capitaine Jean Recher;76400;FECAMP;0235283199;NORMANDIE;SEINE-MARITIME;49.7369377519,0.397555016947
Musée de la Forge;Route de Paris;09330;MONTGAILHARD;0534093060;OCCITANIE;ARIEGE;42.941021,1.630512
Musée Municipal;Place de l'Hôtel de Ville;53500;ERNEE;0243087117;PAYS DE LA LOIRE;MAYENNE;48.296721,-0.93946
Musée de l'Etang de Thau;Quai du Port de Pêche;34140;BOUZIGUES;0467783357;OCCITANIE;HERAULT;43.446763,3.660714
Musée du Château de Mayenne;Place Juhel;53100;MAYENNE;0243001717;PAYS DE LA LOIRE;MAYENNE;48.302352,-0.62016
Musée Municipal;Avenue Jean-Paul II;71600;PARAY-LE-MONIAL;;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;46.450193,4.120561
Musée Ornithologique (Ecomusée de la Brenne);Château Naillac;36300;LE BLANC;0254372520;CENTRE-VAL DE LOIRE;INDRE;46.629212,1.061409
Musée Gallo-Romain;43, Place du Musée;38490;AOSTE;0476325827;AUVERGNE-RHÔNE-ALPES;ISERE;45.587851,5.606561
Musée des Hospices Civils de Lyon;Hôtel Dieu 1, Place de l'Hôpital;69002;LYON;0472413042;AUVERGNE-RHÔNE-ALPES;RHÔNE;45.7483660735,4.825926093
Musée Départemental Georges de la Tour;Place Jeann d'Arc;57630;VIC-SUR-SEILLE;0387780530;GRAND EST;MOSELLE;48.781994,6.531454
Musée des Dentelles et Broderies;Place des Mantilles;59540;CAUDRY;0327762977;HAUTS-DE-France;NORD;50.127724,3.415252
Musée de l'Archerie et de l'Art Sacré;Rue Gustave Chopinet;60800;CREPY-EN-VALOIS;0344592197;HAUTS-DE-France;OISE;49.236775,2.883938
Musée Municipal Bruno Danvin;Rue Oscar Ricque;62130;SAINT-POL-SUR-TERNOISE;0321045625;HAUTS-DE-France;PAS-DE-CALAIS;50.381512,2.337066
Musée de la Résistance Nationale;Parc Vercors 88, Avenue Marx Dormoy - B.P. 135 B.P. 135;94501;CHAMPIGNY-SUR-MARNE Cedex;0148815378;ÎLE-DE-France;VAL DE MARNE;
Musée Départemental Maurice Denis;2 bis, Rue Maurice Denis B.P. 60222;78102;SAINT-GERMAIN-EN-LAYE Cedex;0139078787;ÎLE-DE-France;YVELINES;
Musée Municipal de l'Hôtel de Sully;14, Rue Sully;86100;CHATELLERAULT;0549210127;NOUVELLE-AQUITAINE;VIENNE;46.815984,0.542083
Musée National de la Marine;Hôtel de Cheusses 1, Place de La Galissonnière;17300;ROCHEFORT;0546998657;NOUVELLE-AQUITAINE;CHARENTE-MARITIME;45.9492956651,-0.975348891655
Muséum des Sciences Naturelles;43, Rue Jules Guitton;49100;ANGERS;0241054850;PAYS DE LA LOIRE;MAINE-ET-LOIRE;47.473467,-0.546399
Musée National du Sport;Boulevard des jardiniers Stade Allianz-Riviera CS 43152 CS 43152;06203;NICE Cedex 3;0489224400;PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;
Musée des Sapeurs-Pompiers de France;Rue Baron Bigot;76710;MONTVILLE;0235331351;NORMANDIE;SEINE-MARITIME;49.54687,1.076165
Musée Régional d'Histoire et d'Ethnologie;10, Boulevard du Général de Gaulle;97200;FORT-DE-FRANCE - MARTINIQUE-;0596728187;MARTINIQUE;MARTINIQUE;14.606106,-61.065619
Muséum Emmanuel Liais;Parc Emmanuel Liais Accès Angle rue de l'Abbaye Rue Emmanuel Liais;50100;CHERBOURG-EN-COTENTIN;0233535161;NORMANDIE;MANCHE;49.6331832109,-1.6338586934
Musée de la Maison de Pierre Loti;141, Rue Pierre Loti;17300;ROCHEFORT;0546829190;NOUVELLE-AQUITAINE;CHARENTE-MARITIME;45.934155,-0.962754
Musée de Plein Air des Maisons Comtoises;Rue du Musée;25360;NANCRAY;0381552977;BOURGOGNE-FRANCHE-COMTE;DOUBS;47.243065,6.189598
Maison du Blé et du Pain;2, Rue de l'Egalité;71350;VERDUN-SUR-LE-DOUBS;0385915709;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;46.898754,5.022453
Muséum - Jardin des Sciences;Parc de l'Arquebuse 14, Rue Jehan de Marville - 1 Avenue Albert 1er;21000;DIJON;0380488200;BOURGOGNE-FRANCHE-COMTE;CÔTE D’OR;47.3229417955,5.03751223305
Musée de la Diana;7, Rue Florimont Robertet;42600;MONTBRISON;0477960110;AUVERGNE-RHÔNE-ALPES;LOIRE;45.605503,4.066793
Musée de la Compagnie des Indes;Citadelle de Port-Louis;56290;PORT-LOUIS;0297821913;BRETAGNE;MORBIHAN;47.706409,-3.35365
Musée de la Corse;La Citadelle B.P. 73;20250;CORTE;0495452545;CORSE;HAUTE-CORSE;42.30628,9.14808
Musée du Château des Rohan;Château des Rohans Place du Général de Gaulle;67700;SAVERNE;0388716395;GRAND EST;BAS-RHIN;48.7358014882,7.35473600973
